,LID,Name,Region,Flaeche,Einwohner,BIP
100,101,Iran,Mittlerer Osten,1648000,65619636.0,347600000000.0
101,102,Irak,Mittlerer Osten,437072,22675617.0,59900000000.0
102,103,Irland,Europa,70280,3797257.0,73700000000.0
103,104,Israel,Mittlerer Osten,20770,5842454.0,105400000000.0
104,105,Italien,Europa,301230,57634327.0,1212000000000.0
105,106,Jamaica,Mittelamerika,10990,2652689.0,8800000000.0
106,107,Japan,Asien,377835,126549976.0,2950000000000.0
107,108,Jersey,Europa,116,88915.0,2200000000.0
108,109,Jordanien,Mittlerer Osten,89213,4998564.0,16000000000.0
109,110,Kasachstan,Osteuropa,2717300,16733227.0,54500000000.0
110,111,Kenia,Afrika,582650,30339770.0,45100000000.0
111,112,Kiribati,Ozeanien,717,91985.0,74000000.0
112,113,"Korea, Nord",Asien,120540,21687550.0,22600000000.0
113,114,"Korea, Süd",Asien,98480,47470969.0,625700000000.0
114,115,Kuwait,Mittlerer Osten,17820,1973572.0,44800000000.0
115,116,Kyrgyzstan,Osteuropa,198500,4685230.0,10300000000.0
116,117,Laos,Südostasien,236800,5497459.0,7000000000.0
117,118,Latvia,Europa,64589,2404926.0,9800000000.0
118,119,Libanon,Mittlerer Osten,10400,3578036.0,16200000000.0
119,120,Lesotho,Afrika,30355,2143141.0,4700000000.0
120,121,Liberia,Afrika,111370,3164156.0,2850000000.0
121,122,Libya,Afrika,1759540,5115450.0,39300000000.0
122,123,Liechtenstein,Europa,160,32207.0,730000000.0
123,124,Litauen,Europa,65200,3620756.0,17300000000.0
124,125,Luxemburg,Europa,2586,437389.0,14700000000.0
125,126,Macau,Südostasien,21,445594.0,7650000000.0
126,127,Macedonia The Former Yugoslav Republic of,Europa,25333,2041467.0,7600000000.0
127,128,Madagascar,Afrika,587040,15506472.0,11500000000.0
128,129,Malawi,Afrika,118480,10385849.0,9400000000.0
129,130,Malaysia,Südostasien,329750,21793293.0,229100000000.0
130,131,Maldives,Asien,300,301475.0,540000000.0
131,132,Mali,Afrika,1240000,10685948.0,8500000000.0
132,133,Malta,Europa,316,391670.0,5.0
133,134,Man Isle of,Europa,572,73117.0,1200000000.0
134,135,Marshall Inseln,Ozeanien,181,68126.0,105000000.0
135,136,Martinique,Mittelamerika,1100,414516.0,4240000000.0
136,137,Mauritania,Afrika,1030700,2667859.0,4900000000.0
137,138,Mauritius,Welt,1860,1179368.0,12300000000.0
138,139,Mayotte,Afrika,374,155911.0,85000000.0
139,140,Mexiko,Nordamerika,1972550,100349766.0,865500000000.0
140,141,"Micronesia, Federated States of",Ozeanien,702,133144.0,240000000.0
141,142,Moldova,Osteuropa,33843,4430654.0,9700000000.0
142,143,Monaco,Europa,1,31693.0,870000000.0
143,144,Mongolei,Asien,1565000,2650952.0,6100000000.0
144,145,Montserrat,Mittelamerika,100,6409.0,31000000.0
145,146,Marocco,Afrika,446550,30122350.0,108000000000.0
146,147,Mozambique,Afrika,801590,19104696.0,18700000000.0
147,148,Namibia,Afrika,825418,1771327.0,7100000000.0
148,149,Nauru,Ozeanien,21,11845.0,100000000.0
149,150,Nepal,Asien,140800,24702119.0,27400000000.0
150,151,Niederlande,Europa,41532,15892237.0,365100000000.0
151,152,Niederländische Antillen,Mittelamerika,960,210134.0,2400000000.0
152,153,New Caledonia,Ozeanien,19060,201816.0,3000000000.0
153,154,Neuseeland,Ozeanien,268680,3819762.0,63800000000.0
154,155,Nicaragua,Mittelamerika,129494,4812569.0,12500000000.0
155,156,Niger,Afrika,1267000,10075511.0,9600000000.0
156,157,Nigeria,Afrika,923768,123337822.0,110500000000.0
157,158,Niue,Ozeanien,260,2113.0,4500000.0
158,159,Norfolk Island,Ozeanien,34,1892.0,
159,160,Northern Mariana Islands,Ozeanien,477,71912.0,524000000.0
160,161,Norwegen,Europa,324220,4481162.0,111300000000.0
161,162,Oman,Mittlerer Osten,212460,2533389.0,19600000000.0
162,163,Pakistan,Asien,803940,141553775.0,282000000000.0
163,164,Palau,Ozeanien,458,18766.0,160000000.0
164,165,Panama,Mittelamerika,78200,2808268.0,21000000000.0
165,166,Papua Neu Guinea,Ozeanien,462840,4926984.0,11600000000.0
166,167,Paraguay,Südamerika,406750,5585828.0,19900000000.0
167,168,Peru,Südamerika,1280000,27012899.0,116000000000.0
168,169,Philippinen,Südostasien,300000,81159644.0,282000000000.0
169,170,Pitcairn Islands,Ozeanien,47,54.0,
170,171,Polen,Europa,312685,38646023.0,276500000000.0
171,172,Portugal,Europa,92391,10048232.0,151400000000.0
172,173,Puerto Rico,Mittelamerika,9104,3915798.0,38100000000.0
173,174,Qatar,Mittlerer Osten,11437,744483.0,12300000000.0
174,175,Rum„nien,Europa,237500,22411121.0,87400000000.0
175,176,Russland,Asien,17075200,146001176.0,620300000000.0
176,177,Rwanda,Afrika,26338,7229129.0,5900000000.0
177,178,Saint Helena,Afrika,410,7212.0,13900000.0
178,179,Saint Kitts und Nevis,Mittelamerika,261,38819.0,244000000.0
179,180,Saint Lucia,Mittelamerika,620,156260.0,656000000.0
180,181,Saint Pierre und Miquelon,Nordamerika,242,6896.0,74000000.0
181,182,Saint Vincent und die Grenadines,Mittelamerika,389,115461.0,309000000.0
182,183,Samoa,Ozeanien,2860,179466.0,485000000.0
183,184,San Marino,Europa,60,26937.0,500000000.0
184,185,Sao Tome und Principe,Afrika,1001,159883.0,169000000.0
